name,link,location,continent,country,region,locality,rating,elev_diff,min_alt,max_alt,total_km,easy_km,inter_km,diff_km,num_lifts,price,current_season,general_season,opening_times,approx_season_start,approx_season_end,original_currency,original_value,exchange_rate,usd_price
Bocksberg – Hahnenklee,https://www.skiresort.info/ski-resort/bocksberg-hahnenklee/,Europe > Germany > Central Uplands of Germany (Deutsche Mittelgebirge) > Harz,Europe,Germany,Central Uplands of Germany (Deutsche Mittelgebirge),Harz,2.5,166 m,560 m,726 m,1.9 km,1.9 km,0 km,0 km,4,€ 28.90,2025-12-20 - 2026-03-08,late December - early April,09:30 - 16:30,12-23,04-07,EUR,28.9,1.1553,33.388169999999995
Mt. Jefferson,https://www.skiresort.info/ski-resort/mt-jefferson/,North America > USA > Maine,North America,USA,,,2.5,102 m,128 m,230 m,9.5 km,3 km,4 km,2.5 km,3,"US$ 45,- / approx. € 38,-",,mid December - late March,09:00 - 16:00,12-15,03-23,USD,45.0,1.0,45.0
Hockley Valley,https://www.skiresort.info/ski-resort/hockley-valley/,North America > Canada > Ontario > Southern Ontario > Central Ontario | North America > Canada > Ontario > Southern Ontario > Golden Horseshoe,North America,Canada,Ontario > Southern Ontario | Ontario > Southern Ontario,Central Ontario | Golden Horseshoe,2.5,72 m,324 m,396 m,4.1 km,1 km,1.5 km,1.6 km,4,"C$ 75,- / approx. € 46,-",,mid December - mid March,09:00 - 17:00 Limited opening times during the week,12-15,03-15,CFA,75.0,0.0,0.0
Ski Kraljica – Kupres,https://www.skiresort.info/ski-resort/ski-kraljica-kupres/,Europe > Bosnia and Herzegovina > Federation of Bosnia and Herzegovina > Canton 10,Europe,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,Canton 10,2.5,458 m,1300 m,1758 m,4.5 km,1.5 km,3 km,0 km,2,"BAM 30,- / approx. € 15,-",,,09:00 - 16:00,,,,30.0,0.0,0.0
Vitanová,https://www.skiresort.info/ski-resort/vitanova/,Europe > Slovakia > Žilina (Žilinský kraj),Europe,Slovakia,,,2.5,243 m,725 m,968 m,4 km,2.5 km,1.5 km,0 km,3,"€ 33,-",,late December - mid March,09:00 - 15:30,12-23,03-15,EUR,33.0,1.1553,38.1249
Misurina – Passo Tre Croci,https://www.skiresort.info/ski-resort/misurina-passo-tre-croci/,Europe > Italy > Venetia (Veneto) > Belluno > Cortina d’Ampezzo,Europe,Italy,Venetia (Veneto) > Belluno,Cortina d’Ampezzo,2.5,362 m,1752 m,2114 m,4.2 km,0.8 km,2.9 km,0.5 km,2,"€ 49,-",,,09:00 - 16:30,,,EUR,49.0,1.1553,56.6097
Pradel – Molveno,https://www.skiresort.info/ski-resort/pradel-molveno/,Europe > Italy > Trentino-Alto Adige (Trentino-Südtirol) > Trentino > Altopiano della Paganella/​Dolomiti di Brenta/​Lago di Molveno,Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol) > Trentino,Altopiano della Paganella/​Dolomiti di Brenta/​Lago di Molveno,2.5,160 m,1370 m,1530 m,0.7 km,0.7 km,0 km,0 km,2,"€ 30,-",,mid December - late March,08:30 - 16:00,12-15,03-23,EUR,30.0,1.1553,34.659
Les Pléiades,https://www.skiresort.info/ski-resort/les-pleiades/,Europe > Switzerland > Lemanic Region > Waadt,Europe,Switzerland,Lemanic Region,Waadt,2.5,280 m,1080 m,1360 m,8 km,4 km,4 km,0 km,7,"SFr. 37,- / approx. € 40,-",,,,,,CHF,37.0,1.2428,45.983599999999996
Hiroshima Kenmin no Mori  (temporarily closed),https://www.skiresort.info/ski-resort/hiroshima-kenmin-no-mori/,Asia > Japan > Honshu > Chūgoku > Hiroshima,Asia,Japan,Honshu > Chūgoku,Hiroshima,2.5,250 m,830 m,1080 m,3.5 km,1.2 km,1.1 km,1.2 km,3,"¥ 4200,- / approx. € 24,-",,,08:30 - 17:00,,,JPY,4200.0,0.00657,27.594
Heidialm Skipark – Falkert,https://www.skiresort.info/ski-resort/heidialm-skipark-falkert/,Europe > Austria > Carinthia (Kärnten) > Upper Carinthia (Oberkärnten) > Feldkirchen > Nockberge,Europe,Austria,Carinthia (Kärnten) > Upper Carinthia (Oberkärnten) > Feldkirchen,Nockberge,2.5,267 m,1840 m,2107 m,11 km,3 km,8 km,0 km,3,€ 38.50,2025-12-13 - 2026-04-05,mid December - late March,09:00 - 16:00,12-15,03-23,EUR,38.5,1.1553,44.47905
Mt. Holiday,https://www.skiresort.info/ski-resort/mt-holiday/,North America > USA > Michigan,North America,USA,,,2.5,64 m,210 m,274 m,4.5 km,1 km,2 km,1.5 km,5,"US$ 40,- / approx. € 34,-",,mid December - late March,10:00 - 21:00 Limited opening times during the week,12-15,03-23,USD,40.0,1.0,40.0
Wild Mountain,https://www.skiresort.info/ski-resort/wild-mountain/,North America > USA > Minnesota,North America,USA,,,2.5,82 m,239 m,321 m,4.8 km,1.1 km,1.6 km,2.1 km,7,"US$ 59,- / approx. € 50,-",,early November - mid March,10:00 - 21:00,11-07,03-15,USD,59.0,1.0,59.0
Orsa Grönklitt,https://www.skiresort.info/ski-resort/orsa-groenklitt/,Europe > Sweden > Central Sweden,Europe,Sweden,,,2.5,140 m,450 m,590 m,7 km,4 km,2 km,1 km,14,"Skr 510,- / approx. € 46,-",,mid December - early March,09:00 - 16:00,12-15,03-07,SEK,510.0,0.10467,53.3817
Avers,https://www.skiresort.info/ski-resort/avers/,Europe > Switzerland > Eastern Switzerland > Graubünden > Viamala,Europe,Switzerland,Eastern Switzerland > Graubünden,Viamala,2.5,551 m,1988 m,2539 m,8 km,2 km,2 km,4 km,3,"SFr. 35,- / approx. € 37,-",,mid December - mid April,09:30 - 16:00 Limited opening times during the week,12-15,04-15,CHF,35.0,1.2428,43.498
Powder Ridge,https://www.skiresort.info/ski-resort/powder-ridge/,North America > USA > Minnesota,North America,USA,,,2.5,76 m,356 m,432 m,4 km,2 km,1.5 km,0.5 km,6,"US$ 55,- / approx. € 47,-",,early December - late March,09:30 - 21:00 Limited opening times during the week,12-07,03-23,USD,55.0,1.0,55.0
Hajla – Rožaje,https://www.skiresort.info/ski-resort/hajla-rozaje/,Europe > Montenegro,Europe,Montenegro,,,2.5,227 m,1158 m,1385 m,1.2 km,1.2 km,0 km,0 km,2,"€ 7,-",,mid December - late March,10:00 - 15:00 Limited opening times during the week,12-15,03-23,EUR,7.0,1.1553,8.0871
Auli,https://www.skiresort.info/ski-resort/auli/,Asia > India > Uttarakhand,Asia,India,,,,,,,,,,,,,,early December - late March,09:00 - 17:00,12-07,03-23,,0.0,0.0,0.0
Sky Tavern,https://www.skiresort.info/ski-resort/sky-tavern/,North America > USA > Western United States > Lake Tahoe,North America,USA,Western United States,Lake Tahoe,,,,,,,,,,,,,,,,,0.0,0.0,0.0
Vlašić,https://www.skiresort.info/ski-resort/vlasic/,Europe > Bosnia and Herzegovina > Federation of Bosnia and Herzegovina > Central Bosnia,Europe,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,Central Bosnia,2.5,300 m,1220 m,1520 m,9.5 km,6 km,3 km,0.5 km,6,"BAM 32,- / approx. € 16,-",,,09:00 - 16:00,,,,32.0,0.0,0.0
La Schlucht,https://www.skiresort.info/ski-resort/la-schlucht/,Europe > France > Grand-Est > Vosges (department),Europe,France,Grand-Est,Vosges (department),2.5,111 m,1140 m,1251 m,1.4 km,1.4 km,0 km,0 km,2,€ 19.50,,depending on snow conditions - depending on snow conditions,,,,EUR,19.5,1.1553,22.52835
Serre-Eyraud (Orcières),https://www.skiresort.info/ski-resort/serre-eyraud-orcieres/,Europe > France > Provence-Alpes-Côte d’Azur > Hautes-Alpes > Gap,Europe,France,Provence-Alpes-Côte d’Azur > Hautes-Alpes,Gap,2.5,620 m,1480 m,2100 m,7.4 km,3.2 km,3.2 km,1 km,3,"€ 18,-",,,10:00 - 16:30,,,EUR,18.0,1.1553,20.7954
Christie Mountain,https://www.skiresort.info/ski-resort/christie-mountain/,North America > USA > Wisconsin,North America,USA,,,2.5,110 m,400 m,510 m,5.6 km,2.8 km,1.5 km,1.3 km,5,"US$ 53,- / approx. € 45,-",,early December - mid March,10:00 - 18:00 Limited opening times during the week,12-07,03-15,USD,53.0,1.0,53.0
Ål Skisenter,https://www.skiresort.info/ski-resort/aal-skisenter/,Europe > Norway > Buskerud > Hallingdal,Europe,Norway,Buskerud,Hallingdal,2.5,474 m,566 m,1040 m,9.5 km,5 km,2 km,2.5 km,5,"NOK 520,- / approx. € 45,-",,mid November - mid April,10:00 - 16:00,11-15,04-15,NOK,520.0,0.09814,51.0328
Alpe di Cusna – Febbio,https://www.skiresort.info/ski-resort/febbio-2000-monte-cusna/,Europe > Italy > Emilia-Romagna > Reggio Emilia,Europe,Italy,Emilia-Romagna,Reggio Emilia,2.5,366 m,1150 m,1516 m,4.9 km,3.2 km,1.7 km,0 km,2,"€ 30,-",,late December - early March,09:00 - 16:30,12-23,03-07,EUR,30.0,1.1553,34.659
Grong,https://www.skiresort.info/ski-resort/grong/,Europe > Norway > Nord-Trøndelag > Namdalen,Europe,Norway,Nord-Trøndelag,Namdalen,2.5,485 m,225 m,710 m,10 km,3.5 km,5.5 km,1 km,4,"NOK 440,- / approx. € 38,-",,,10:00 - 16:00,,,NOK,440.0,0.09814,43.1816
Buron – Wertach,https://www.skiresort.info/ski-resort/buron-wertach/,Europe > Germany > Bavaria (Bayern) > Swabia (Schwaben) > Oberallgäu,Europe,Germany,Bavaria (Bayern) > Swabia (Schwaben),Oberallgäu,2.5,528 m,890 m,1418 m,7.7 km,4.4 km,2.3 km,1 km,3,"€ 22,-",2025-12-20 - 2026-03-15,mid December - mid March,09:00 - 16:00,12-15,03-15,EUR,22.0,1.1553,25.4166
Schwabenbergarena – Turnau,https://www.skiresort.info/ski-resort/schwabenbergarena-turnau/,Europe > Austria > Styria (Steiermark) > Hochsteiermark,Europe,Austria,Styria (Steiermark),Hochsteiermark,2.5,450 m,800 m,1250 m,10 km,3 km,6 km,1 km,4,"€ 43,-",2025-12-06 - 2026-03-15,early December - mid March,09:00 - 16:00,12-07,03-15,EUR,43.0,1.1553,49.6779
Näsfjället i Sälen  (temporarily closed),https://www.skiresort.info/ski-resort/naesfjaellet-i-saelen/,Europe > Sweden > Northern Sweden (Norrland) > Dalarna County > Sälen,Europe,Sweden,Northern Sweden (Norrland) > Dalarna County,Sälen,2.5,190 m,700 m,890 m,10 km,5 km,3 km,2 km,2,"Skr 395,- / approx. € 36,-",,,09:00 - 16:00,,,SEK,395.0,0.10467,41.34465
Soszów – Jawornik (Wisła),https://www.skiresort.info/ski-resort/soszow-jawornik-wisla/,Europe > Poland > Silesia (Województwo śląskie),Europe,Poland,,,2.5,276 m,610 m,886 m,5.6 km,4.5 km,0.9 km,0.2 km,5,"PLN 170,- / approx. € 40,-",,,08:00 - 21:00,,,,170.0,0.0,0.0
Oddsskarð,https://www.skiresort.info/ski-resort/oddsskard/,Europe > Iceland > East Iceland,Europe,Iceland,,,2.5,327 m,513 m,840 m,9 km,3 km,2 km,4 km,3,"ISK 4800,- / approx. € 34,-",,mid December - late April,10:00 - 17:00,12-15,04-23,,4800.0,0.0,0.0
L'Abbaye,https://www.skiresort.info/ski-resort/labbaye/,Europe > Switzerland > Lemanic Region > Waadt > Yverdon-les-Bains > Vallée de Joux,Europe,Switzerland,Lemanic Region > Waadt > Yverdon-les-Bains,Vallée de Joux,2.5,427 m,1010 m,1437 m,10 km,6 km,3 km,1 km,4,"SFr. 30,- / approx. € 32,-",,mid December - late March,09:00 - 16:00,12-15,03-23,CHF,30.0,1.2428,37.284
Mutsushi Kamafuseyama,https://www.skiresort.info/ski-resort/mutsushi-kamafuseyama/,Asia > Japan > Honshu > Tōhoku > Aomori,Asia,Japan,Honshu > Tōhoku,Aomori,2.5,354 m,115 m,469 m,3 km,1.5 km,0.9 km,0.6 km,2,"¥ 2800,- / approx. € 16,-",,mid December - mid March,09:00 - 21:00,12-15,03-15,JPY,2800.0,0.00657,18.396
Hirayu Onsen,https://www.skiresort.info/ski-resort/hirayu-onsen/,Asia > Japan > Honshu > Chūbu > Gifu,Asia,Japan,Honshu > Chūbu,Gifu,2.5,470 m,1314 m,1784 m,3.5 km,0.8 km,1.7 km,1 km,2,"¥ 3700,- / approx. € 21,-",,,,,,JPY,3700.0,0.00657,24.309
Yeti Resort,https://www.skiresort.info/ski-resort/yeti-resort/,Asia > Japan > Honshu > Chūbu > Shizuoka,Asia,Japan,Honshu > Chūbu,Shizuoka,2.5,150 m,1300 m,1450 m,3 km,1.5 km,1.3 km,0.2 km,3,"¥ 5200,- / approx. € 30,-",,late October - early April,09:00 - 22:00,10-23,04-07,JPY,5200.0,0.00657,34.164
Hidden Valley Highlands,https://www.skiresort.info/ski-resort/hidden-valley-highlands/,North America > Canada > Ontario > Northern Ontario,North America,Canada,Ontario,Northern Ontario,2.5,100 m,280 m,380 m,3 km,1.8 km,0.7 km,0.5 km,4,"C$ 67,- / approx. € 41,-",,mid December - late March,09:00 - 16:00 Limited opening times during the week,12-15,03-23,CFA,67.0,0.0,0.0
Chicopee,https://www.skiresort.info/ski-resort/chicopee/,North America > Canada > Ontario > Southern Ontario > Central Ontario | North America > Canada > Ontario > Southern Ontario > Golden Horseshoe,North America,Canada,Ontario > Southern Ontario | Ontario > Southern Ontario,Central Ontario | Golden Horseshoe,2.5,56 m,314 m,370 m,4.3 km,1 km,2 km,1.3 km,5,"C$ 65,- / approx. € 40,-",,mid December - late March,09:00 - 21:00,12-15,03-23,CFA,65.0,0.0,0.0
Yogo Kogen,https://www.skiresort.info/ski-resort/yogo-kogen/,Asia > Japan > Honshu > Kansai > Shiga,Asia,Japan,Honshu > Kansai,Shiga,2.5,187 m,554 m,741 m,3.6 km,1.2 km,2.1 km,0.3 km,4,"¥ 5200,- / approx. € 30,-",,,,,,JPY,5200.0,0.00657,34.164
Bradford,https://www.skiresort.info/ski-resort/bradford/,North America > USA > Massachusetts,North America,USA,,,2.5,70 m,10 m,80 m,4 km,1.5 km,1.5 km,1 km,7,"US$ 69,- / approx. € 59,-",,mid December - late March,08:30 - 16:30,12-15,03-23,USD,69.0,1.0,69.0
Valčianska Dolina – Valča (Snowland),https://www.skiresort.info/ski-resort/valcianska-dolina-valca-snowland/,Europe > Slovakia > Žilina (Žilinský kraj),Europe,Slovakia,,,2.5,320 m,510 m,830 m,5.6 km,1.5 km,3.6 km,0.5 km,7,"€ 37,-",2025-12-20 - 2026-03-15,mid December - late March,09:00 - 16:00,12-15,03-23,EUR,37.0,1.1553,42.7461
Mont Castor,https://www.skiresort.info/ski-resort/mont-castor/,North America > Canada > Quebec > Bas-Saint-Laurent,North America,Canada,Quebec,Bas-Saint-Laurent,2.5,163 m,20 m,183 m,9 km,3 km,2 km,4 km,2,"C$ 35.96 / approx. € 22,-",,mid December - late March,09:00 - 15:30 Limited opening times during the week,12-15,03-23,CFA,35.96,0.0,0.0
Jasenská Dolina – Belá-Dulice,https://www.skiresort.info/ski-resort/jasenska-dolina-bela-dulice/,Europe > Slovakia > Žilina (Žilinský kraj),Europe,Slovakia,,,2.5,190 m,540 m,730 m,6 km,3 km,3 km,0 km,6,"€ 33,-",2025-12-20 - 2026-03-22,mid December - early April,09:00 - 16:00,12-15,04-07,EUR,33.0,1.1553,38.1249
Salla,https://www.skiresort.info/ski-resort/salla/,Europe > Finland > Northern Finland > Lapland (Finland),Europe,Finland,Northern Finland,Lapland (Finland),2.5,208 m,252 m,460 m,10 km,5 km,3 km,2 km,7,"€ 53,-",,mid December - early May,09:30 - 16:00,12-15,05-07,EUR,53.0,1.1553,61.2309
Klimpfjäll,https://www.skiresort.info/ski-resort/klimpfjaell/,Europe > Sweden > Northern Sweden (Norrland) > Västerbotten,Europe,Sweden,Northern Sweden (Norrland),Västerbotten,2.5,206 m,598 m,804 m,9 km,5 km,3 km,1 km,3,"Skr 455,- / approx. € 41,-",,,10:00 - 16:00,,,SEK,455.0,0.10467,47.62485
Le Pâquier – Crêt-du-Puy,https://www.skiresort.info/ski-resort/le-paquier-cret-du-puy/,Europe > Switzerland > Espace Mittelland > Neuenburg,Europe,Switzerland,Espace Mittelland,Neuenburg,2.5,401 m,862 m,1263 m,10 km,5.5 km,2.5 km,2 km,3,"SFr. 32,- / approx. € 34,-",,,09:00 - 16:30,,,CHF,32.0,1.2428,39.7696
Buscat – Staţiunea Muntele Băişorii (Băișoara),https://www.skiresort.info/ski-resort/buscat-statiunea-muntele-baisorii-baisoara/,Europe > Romania > Cluj,Europe,Romania,,,2.5,180 m,1490 m,1670 m,3.1 km,1.4 km,0.8 km,0.9 km,2,"RON 190,- / approx. € 37,-",,,09:00 - 17:00 Limited opening times during the week,,,,190.0,0.0,0.0
Valdres Alpinsenter,https://www.skiresort.info/ski-resort/valdres-alpinsenter/,Europe > Norway > Oppland > Valdres,Europe,Norway,Oppland,Valdres,2.5,360 m,700 m,1060 m,10 km,6 km,2 km,2 km,5,"NOK 495,- / approx. € 42,-",,late November - mid April,09:30 - 16:00,11-23,04-15,NOK,495.0,0.09814,48.5793
Craigieburn,https://www.skiresort.info/ski-resort/craigieburn/,Australia and Oceania > New Zealand > South Island > Canterbury,Australia and Oceania,New Zealand,South Island,Canterbury,2.5,501 m,1310 m,1811 m,10 km,1 km,3 km,6 km,3,"NZ$ 120,- / approx. € 60,-",,,,,,NZD,120.0,0.56886,68.2632
Laguiole,https://www.skiresort.info/ski-resort/laguiole/,Europe > France > Occitania > Aveyron,Europe,France,Occitania,Aveyron,2.5,217 m,1185 m,1402 m,10 km,4.2 km,4 km,1.8 km,10,"€ 23,-",,,,,,EUR,23.0,1.1553,26.5719
Selital – Schwarzenbühl,https://www.skiresort.info/ski-resort/selital-schwarzenbuehl/,Europe > Switzerland > Espace Mittelland > Bern,Europe,Switzerland,Espace Mittelland,Bern,2.5,307 m,1299 m,1606 m,10.1 km,4.7 km,4.3 km,1.1 km,3,"SFr. 40,- / approx. € 43,-",,early December - mid March,09:00 - 16:00 Limited opening times during the week,12-07,03-15,CHF,40.0,1.2428,49.711999999999996
Kuzuryu,https://www.skiresort.info/ski-resort/kuzuryu/,Asia > Japan > Honshu > Chūbu > Fukui,Asia,Japan,Honshu > Chūbu,Fukui,2.5,320 m,408 m,728 m,3.5 km,0.9 km,1.9 km,0.7 km,4,"¥ 3900,- / approx. € 23,-",,late December - mid March,08:30 - 16:30,12-23,03-15,JPY,3900.0,0.00657,25.623
Le Markstein,https://www.skiresort.info/ski-resort/le-markstein/,Europe > France > Grand-Est > Haut-Rhin,Europe,France,Grand-Est,Haut-Rhin,2.5,240 m,1100 m,1340 m,10 km,6 km,3 km,1 km,8,"€ 25,-",,late December - early March,09:00 - 17:00,12-23,03-07,EUR,25.0,1.1553,28.8825
Isafjördur,https://www.skiresort.info/ski-resort/isafjoerdur/,Europe > Iceland > Westfjords (Vestfirðir),Europe,Iceland,,,2.5,372 m,115 m,487 m,9 km,4.5 km,2.5 km,2 km,3,"ISK 3920,- / approx. € 28,-",,,11:00 - 16:00,,,,3920.0,0.0,0.0
Banshogahara,https://www.skiresort.info/ski-resort/banshogahara/,Asia > Japan > Honshu > Chūbu > Nagano,Asia,Japan,Honshu > Chūbu,Nagano,2.5,200 m,1200 m,1400 m,3 km,0.8 km,1.5 km,0.7 km,2,"¥ 3550,- / approx. € 21,-",,mid December - late March,08:30 - 16:00,12-15,03-23,JPY,3550.0,0.00657,23.323500000000003
Luosto,https://www.skiresort.info/ski-resort/luosto/,Europe > Finland > Northern Finland > Lapland (Finland),Europe,Finland,Northern Finland,Lapland (Finland),2.5,231 m,262 m,493 m,9.1 km,3.8 km,1.4 km,3.9 km,4,€ 45.50,,late November - late April,10:00 - 17:00,11-23,04-23,EUR,45.5,1.1553,52.56615
Horotachi,https://www.skiresort.info/ski-resort/horotachi/,Asia > Japan > Hokkaido,Asia,Japan,,,2.5,183 m,160 m,343 m,3.3 km,1.1 km,1.5 km,0.7 km,1,"¥ 3500,- / approx. € 20,-",,mid December - late March,09:00 - 16:00,12-15,03-23,JPY,3500.0,0.00657,22.995
Münstertal-Wieden,https://www.skiresort.info/ski-resort/muenstertal-wieden/,Europe > Germany > Baden-Württemberg > Freiburg (region) > Breisgau-Hochschwarzwald > Münstertal Staufen | Europe > Germany > Baden-Württemberg > Black Forest (Schwarzwald) > Southern Black Forest > Belchen,Europe,Germany,Baden-Württemberg > Freiburg (region) > Breisgau-Hochschwarzwald | Baden-Württemberg > Black Forest (Schwarzwald) > Southern Black Forest,Münstertal Staufen | Belchen,2.5,360 m,880 m,1240 m,10 km,3 km,5 km,2 km,6,"€ 30,-",2025-12-13 - 2026-03-08,mid December - late March,09:00 - 16:45,12-15,03-23,EUR,30.0,1.1553,34.659
Hagurosan,https://www.skiresort.info/ski-resort/hagurosan/,Asia > Japan > Honshu > Tōhoku > Yamagata,Asia,Japan,Honshu > Tōhoku,Yamagata,2.5,143 m,240 m,383 m,3.5 km,1.7 km,1.2 km,0.6 km,2,"¥ 3000,- / approx. € 17,-",,,09:00 - 16:00,,,JPY,3000.0,0.00657,19.71
Kunizakai,https://www.skiresort.info/ski-resort/kunizakai/,Asia > Japan > Honshu > Kansai > Shiga | Asia > Japan > Honshu > Chūbu > Fukui,Asia,Japan,Honshu > Kansai | Honshu > Chūbu,Shiga | Fukui,2.5,208 m,384 m,592 m,3 km,1.7 km,0.7 km,0.6 km,4,"¥ 4500,- / approx. € 26,-",,mid December - mid March,08:00 - 17:00 Limited opening times during the week,12-15,03-15,JPY,4500.0,0.00657,29.565
Brokke,https://www.skiresort.info/ski-resort/brokke/,Europe > Norway > Aust-Agder > Setesdal,Europe,Norway,Aust-Agder,Setesdal,2.5,230 m,550 m,780 m,5.8 km,3.6 km,2.2 km,0 km,4,"NOK 510,- / approx. € 44,-",,,10:00 - 16:00,,,NOK,510.0,0.09814,50.0514
Gol Skisenter – Skagahøgdi,https://www.skiresort.info/ski-resort/skagahoegdi-gol/,Europe > Norway > Buskerud > Hallingdal,Europe,Norway,Buskerud,Hallingdal,2.5,433 m,442 m,875 m,9.5 km,4 km,3.5 km,2 km,2,"NOK 470,- / approx. € 40,-",,early December - mid April,10:00 - 16:00,12-07,04-15,NOK,470.0,0.09814,46.125800000000005
Storefjell,https://www.skiresort.info/ski-resort/storefjell/,Europe > Norway > Buskerud > Hallingdal,Europe,Norway,Buskerud,Hallingdal,2.5,209 m,940 m,1149 m,10 km,6.7 km,2.7 km,0.6 km,3,"NOK 460,- / approx. € 39,-",,early December - late April,10:00 - 16:00,12-07,04-23,NOK,460.0,0.09814,45.144400000000005
Rein in Taufers (Riva di Tures),https://www.skiresort.info/ski-resort/rein-in-taufers-riva-di-tures/,Europe > Italy > Trentino-Alto Adige (Trentino-Südtirol) > South Tyrol (Südtirol) > Tauferer Ahrntal (Valli di Tures e Aurina) > Skiworld Ahrntal,Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol) > South Tyrol (Südtirol) > Tauferer Ahrntal (Valli di Tures e Aurina),Skiworld Ahrntal,2.5,252 m,1583 m,1835 m,4 km,2 km,2 km,0 km,2,"€ 33,-",2025-12-13 - 2026-03-22,mid December - early April,09:00 - 16:30,12-15,04-07,EUR,33.0,1.1553,38.1249
Minami Furano,https://www.skiresort.info/ski-resort/minami-furano/,Asia > Japan > Hokkaido,Asia,Japan,,,2.5,341 m,389 m,730 m,3 km,1 km,1.5 km,0.5 km,3,"¥ 2500,- / approx. € 14,-",,late December - mid March,09:00 - 16:00 Limited opening times during the week,12-23,03-15,JPY,2500.0,0.00657,16.425
Fulufjellet,https://www.skiresort.info/ski-resort/fulufjellet/,Europe > Norway > Hedmark,Europe,Norway,,,2.5,230 m,510 m,740 m,9 km,5 km,3 km,1 km,2,"NOK 510,- / approx. € 44,-",,,10:00 - 18:00,,,NOK,510.0,0.09814,50.0514
Lemonsjø Alpinsenter (Jotunheimen),https://www.skiresort.info/ski-resort/lemonsjoe-alpinsenter-jotunheimen/,Europe > Norway > Oppland > Gudbrand Valley (Gudbrandsdalen),Europe,Norway,Oppland,Gudbrand Valley (Gudbrandsdalen),2.5,360 m,840 m,1200 m,10 km,4 km,5 km,1 km,1,"NOK 450,- / approx. € 39,-",,,10:00 - 16:00,,,NOK,450.0,0.09814,44.163000000000004
Karuizawa Snow Park,https://www.skiresort.info/ski-resort/karuizawa-snow-park/,Asia > Japan > Honshu > Kantō > Gunma,Asia,Japan,Honshu > Kantō,Gunma,2.5,129 m,1272 m,1401 m,3.1 km,1 km,1.8 km,0.3 km,3,"¥ 4000,- / approx. € 23,-",,mid December - early April,09:30 - 16:00,12-15,04-07,JPY,4000.0,0.00657,26.28
Minakami Kogen Fujiwara,https://www.skiresort.info/ski-resort/minakami-kogen-fujiwara/,Asia > Japan > Honshu > Kantō > Gunma,Asia,Japan,Honshu > Kantō,Gunma,2.5,150 m,850 m,1000 m,3.7 km,2 km,1.2 km,0.5 km,3,"¥ 4000,- / approx. € 23,-",,mid December - early April,08:30 - 16:45,12-15,04-07,JPY,4000.0,0.00657,26.28
Mansfield Ski Club,https://www.skiresort.info/ski-resort/mansfield-ski-club/,North America > Canada > Ontario > Southern Ontario > Central Ontario | North America > Canada > Ontario > Southern Ontario > Golden Horseshoe,North America,Canada,Ontario > Southern Ontario | Ontario > Southern Ontario,Central Ontario | Golden Horseshoe,,,,,,,,,,,,early December - late March,08:30 - 16:30,12-07,03-23,,0.0,0.0,0.0
Hakusan Sena Kogen  (temporarily closed),https://www.skiresort.info/ski-resort/hakusan-sena-kogen/,Asia > Japan > Honshu > Chūbu > Ishikawa,Asia,Japan,Honshu > Chūbu,Ishikawa,,,,,,,,,,,,,,,,,0.0,0.0,0.0
Shintokuyama,https://www.skiresort.info/ski-resort/shintokuyama/,Asia > Japan > Hokkaido,Asia,Japan,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
Mount Maichen,https://www.skiresort.info/ski-resort/mount-maichen/,North America > Canada > Yukon,North America,Canada,,,,,,,,,,,,,,late December - mid April,12:00 - 16:00 Limited opening times during the week,12-23,04-15,,0.0,0.0,0.0
Dammkar – Mittenwald,https://www.skiresort.info/ski-resort/dammkar-mittenwald/,Europe > Germany > Bavaria (Bayern) > Upper Bavaria (Oberbayern) > Zugspitz Region > Alpenwelt Karwendel,Europe,Germany,Bavaria (Bayern) > Upper Bavaria (Oberbayern) > Zugspitz Region,Alpenwelt Karwendel,,,,,,,,,,,,late December - mid April,09:00 - 16:15,12-23,04-15,,0.0,0.0,0.0
SOK – Krasnaya Glinka,https://www.skiresort.info/ski-resort/sok-krasnaya-glinka/,Russia > Volga Federal District > Samara,Russia,Volga Federal District,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
Beruku Yogo  (temporarily closed),https://www.skiresort.info/ski-resort/beruku-yogo/,Asia > Japan > Honshu > Kansai > Shiga,Asia,Japan,Honshu > Kansai,Shiga,,,,,,,,,,,,,,,,,0.0,0.0,0.0
Star Hill Resort – Cheonmasan  (temporarily closed),https://www.skiresort.info/ski-resort/star-hill-resort-cheonmasan/,Asia > South Korea > Gyeonggi-do (Seoul),Asia,South Korea,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
Untersberg – Grödig,https://www.skiresort.info/ski-resort/untersberg-groedig/,Europe > Austria > Salzburg (Salzburger Land) > Flachgau,Europe,Austria,Salzburg (Salzburger Land),Flachgau,,,,,,,,,,,,early December - early March,09:00 - 16:00,12-07,03-07,,0.0,0.0,0.0
Stagecoach Mountain  (temporarily closed),https://www.skiresort.info/ski-resort/stagecoach-mountain/,North America > USA > Colorado,North America,USA,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
Liangcheng,https://www.skiresort.info/ski-resort/liangcheng/,Asia > China > Inner Mongolia,Asia,China,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
