name,link,location,continent,country,region,locality,rating,elev_diff,min_alt,max_alt,total_km,easy_km,inter_km,diff_km,num_lifts,price,current_season,general_season,opening_times,approx_season_start,approx_season_end,original_currency,original_value,exchange_rate,usd_price
Killington,https://www.skiresort.info/ski-resort/killington/,North America > USA > Vermont,North America,USA,,,4.2,938 m,355 m,1293 m,118.4 km,20 km,47.4 km,51 km,22,"US$ 199,- / approx. € 169,-",2025-11-15 - 2026-05-10,late October - late May,09:00 - 16:00,10-23,05-23,USD,199.0,1.0,199.0
Kvitfjell,https://www.skiresort.info/ski-resort/kvitfjell/,Europe > Norway > Oppland > Lillehammer,Europe,Norway,Oppland,Lillehammer,4.2,847 m,185 m,1032 m,39 km,21.5 km,12.5 km,5 km,14,"NOK 665,- / approx. € 57,-",2025-11-15 - 2026-04-19,early November - late April,09:30 - 15:30,11-07,04-23,NOK,665.0,0.09814,65.26310000000001
Passo San Pellegrino/​Falcade,https://www.skiresort.info/ski-resort/passo-san-pellegrinofalcade/,Europe > Italy > Trentino-Alto Adige (Trentino-Südtirol) > Trentino > Val di Fassa (Fassa Valley/​Fassatal),Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol) > Trentino,Val di Fassa (Fassa Valley/​Fassatal),4.2,1323 m,1190 m,2513 m,67.5 km,20.5 km,38.5 km,8.5 km,15,"€ 69,-",2025-11-29 - 2026-04-12,late November - mid April,08:30 - 16:00,11-23,04-15,EUR,69.0,1.1553,79.7157
Parsenn (Davos Klosters),https://www.skiresort.info/ski-resort/parsenn-davos-klosters/,Europe > Switzerland > Eastern Switzerland > Graubünden > Davos Klosters,Europe,Switzerland,Eastern Switzerland > Graubünden,Davos Klosters,4.2,2034 m,810 m,2844 m,95.5 km,17.3 km,60.5 km,17.7 km,18,"SFr. 84,- / approx. € 90,-",2025-11-21 - 2026-04-12,mid November - late April,08:15 - 16:00,11-15,04-23,CHF,84.0,1.2428,104.39519999999999
Mont-Sainte-Anne,https://www.skiresort.info/ski-resort/mont-sainte-anne/,North America > Canada > Quebec > Capitale-Nationale,North America,Canada,Quebec,Capitale-Nationale,4.2,625 m,175 m,800 m,73 km,15 km,34 km,24 km,9,"C$ 145,- / approx. € 88,-",2025-12-06 - 2026-04-19,late November - late April,09:00 - 16:00,11-23,04-23,CFA,145.0,0.0,0.0
Belvedere/​Col Rodella/​Ciampac/​Buffaure – Canazei/​Campitello/​Alba/​Pozza di Fassa,https://www.skiresort.info/ski-resort/belvederecol-rodellaciampacbuffaure-canazeicampitelloalbapozza-di-fassa/,Europe > Italy > Trentino-Alto Adige (Trentino-Südtirol) > Trentino > Val di Fassa (Fassa Valley/​Fassatal),Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol) > Trentino,Val di Fassa (Fassa Valley/​Fassatal),4.2,1165 m,1320 m,2485 m,55.2 km,7.3 km,40.7 km,7.2 km,35,"€ 73,-",2025-12-06 - 2026-04-06,early December - early April,08:30 - 16:30,12-07,04-07,EUR,73.0,1.1553,84.3369
Ponte di Legno/​Tonale/​Presena Glacier/​Temù (Pontedilegno-Tonale),https://www.skiresort.info/ski-resort/ponte-di-legnotonalepresena-glaciertemu-pontedilegno-tonale/,Europe > Italy > Trentino-Alto Adige (Trentino-Südtirol) > Trentino > Val di Sole (Sole Valley),Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol) > Trentino,Val di Sole (Sole Valley),4.2,1879 m,1121 m,3000 m,100 km,24 km,60 km,16 km,30,"€ 64,-",2025-11-15 - 2026-05-03,early November - late May,08:30 - 17:00,11-07,05-23,EUR,64.0,1.1553,73.9392
Damüls Mellau,https://www.skiresort.info/ski-resort/damuels-mellau/,Europe > Austria > Vorarlberg > Bregenz > Bregenzerwald,Europe,Austria,Vorarlberg > Bregenz,Bregenzerwald,4.2,1340 m,710 m,2050 m,80.8 km,29.9 km,49 km,1.9 km,21,"€ 70,-",2025-11-01 - 2026-04-10,early December - mid April,09:00 - 16:00,12-07,04-15,EUR,70.0,1.1553,80.871
Sunday River,https://www.skiresort.info/ski-resort/sunday-river/,North America > USA > Maine,North America,USA,,,4.2,707 m,250 m,957 m,84.8 km,25.5 km,30.5 km,28.8 km,20,"US$ 159,- / approx. € 135,-",2025-11-15 - 2026-04-26,early November - late April,09:00 - 16:00,11-07,04-23,USD,159.0,1.0,159.0
Kopaonik,https://www.skiresort.info/ski-resort/kopaonik/,Europe > Serbia > Serbia-South > Šumadija and Western Serbia,Europe,Serbia,Serbia-South,Šumadija and Western Serbia,4.2,957 m,1060 m,2017 m,55 km,30 km,19 km,6 km,26,"RSD 5370,- / approx. € 46,-",2025-12-04 - 2026-04-06,early December - early April,08:30 - 16:00,12-07,04-07,RSD,5370.0,0.0,0.0
